cycle,v_mean_IC1,v_mean_IC2,v_mean_IC3,v_mean_IC4,v_mean_IC5,i_mean_IC1,i_mean_IC2,i_mean_IC3,i_mean_IC4,i_mean_IC5,t_mean_IC1,t_mean_IC2,t_mean_IC3,t_mean_IC4,t_mean_IC5,discharge_duration,soc,battery
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172353147218374,-0.4774379353918795,-1.0552918016591237,0.2961006829781668,-0.6204830511385476,3690.234,1.0,B0005
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803490338000207,-0.3386857299831326,-1.1259900378265242,0.008920139084499432,-0.6712483536396503,3655.672,0.990634198264934,B0005
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49923992265315437,-0.1799306241435654,-1.1449549270388713,0.21637476048159363,-0.7413873770039229,3631.203,0.984003453439538,B0005
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24003298166752704,0.031346465774617735,-1.1876170701118824,-0.10065106397472172,-0.8284016839617527,3631.563,0.9841010082287464,B0005
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08591285164652869,0.23775900008605752,-1.074460132344618,-0.030545348309840438,-0.8993611980276024,3588.563,0.9724486306288436,B0005
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2849811033168718,0.4412880914158097,-0.8482179425358637,0.11822198393302615,-0.9538042608625682,3652.281,0.989715286347695,B0005
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006407415911905279,0.66763752008612,-0.6301737681739067,-0.47284707206272025,-1.0015101852781816,3650.828,0.9893215443790284,B0005
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18732987188128958,0.8538521496645208,-0.3177147406964519,-0.559517984648532,-1.032662493930689,3535.312,0.958018380406229,B0005
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892628081328074,1.003650573647041,0.0288081406782547,-0.44243087517943364,-1.0513034894684856,3550.594,0.9621595812081294,B0005
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39900592154343706,1.0979564447982033,0.38686289673335034,0.15586661316586617,-1.0618352963802613,3531.032,0.9568585623567504,B0005
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40025566552494346,1.1550694721480272,0.6391649894403609,0.6520472440981078,-1.0772660640046205,3510.078,0.951180331653765,B0005
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9477713783670437,1.2326371637738682,0.569601674814019,-0.3951938914369226,-1.1210277327331815,3491.016,0.9460148055651756,B0005
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6280236814750236,1.2293014474730812,0.369892394108857,-0.47954000786162615,-1.1882199741489095,3453.531,0.9358569131388416,B0005
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21414972030325172,1.16496353115992,0.07540803117195419,0.005651153530049054,-1.2692479908287329,3470.0,0.9403197737596044,B0005
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5650135816085721,1.0978106225410504,-0.3089713799244137,-0.31345270258080554,-1.3471540177791739,3450.297,0.9349805459491188,B0005
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8756794460448806,0.9865167805170107,-0.6052476962288936,-0.3027088001832486,-1.4042133362350295,3393.625,0.919623254243498,B0005
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9874360034174927,0.8701810530245649,-0.8933883419634882,-0.5689653731812756,-1.4553330988772617,3409.484,0.9239208136936574,B0005
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8274237337530493,0.7195021411300263,-0.947957637073214,-0.45492734933500667,-1.4636994700106152,3390.422,0.918755287605068,B0005
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3720639000684672,0.5132532462713943,-0.6236001904922577,0.5065400394586844,-1.4055189779702553,3390.281,0.9187170786459612,B0005
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1794911765050549,0.35542417827596196,-0.22283063610711543,0.1300086395836601,-1.318744519324146,3591.734,0.973307925730455,B0005
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5856431304644674,0.2219677687914449,0.1349514460536481,-0.48910066683685877,-1.2502139401372168,3531.906,0.9570954037061064,B0005
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183718135004631,0.04036206305993023,0.47077954085396356,0.8148048143311658,-1.2304388143538765,3531.578,0.9570065204537164,B0005
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3840935330485973,-0.07775452449017499,0.541153656371019,1.3660330520437853,-1.2725885432714816,3492.907,0.9465272391940458,B0005
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785277835437528,-0.12955255662669776,0.376858999874303,0.7579926928489139,-1.357507331657641,3476.0,0.9419456869130792,B0005
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09087893531631124,-0.17002520318773104,0.13676771031973153,-0.09447797181172404,-1.456081245896262,3431.9370000000054,0.9300052516994872,B0005
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9321885539724334,-0.2405075617362215,-0.05434477464756647,-0.594583825928634,-1.542128196040811,3410.938,0.9243148266478496,B0005
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4675594928149478,-0.3480151082201312,-0.1553692081840352,-0.9491095648893244,-1.5962974090256816,3412.406,0.9247126333993996,B0005
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4412091154197173,-0.5094350438761966,-0.1018390501833014,-1.1228830686358702,-1.5976530983137534,3410.688,0.9242470802664547,B0005
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0637612276997712,-0.7572966500361502,0.19558570711556905,-0.4456245767277138,-1.5323973275632878,3393.984,0.9197205380471808,B0005
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4114573316291438,-1.0235809226345969,0.5387124638019248,0.31185158334524316,-1.4420526182203046,3392.719,0.9193777413573232,B0005
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8517689254357058,-1.188515514596431,0.6087364890261623,-0.6448969865187444,-1.3828678799365186,3470.672,0.9405018760327936,B0005
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18020960512542,-1.3269521083020268,0.6252396044445256,-0.70303874613595,-1.355125314543917,3414.109,0.9251741217494608,B0005
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6070185789448271,-1.3971419692719338,0.5583640607403795,-0.17121954607649506,-1.3701039319164683,3385.422,0.9174003599771722,B0005
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4650915996615631,-1.3935580966090035,0.5385932943182277,0.8486159845137113,-1.4004530925390475,3386.0,0.9175569896109568,B0005
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8011942143452737,-1.2580911503282077,0.5738546502883373,0.7659373835366622,-1.422196615437057,3368.187,0.9127299244438156,B0005
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3673970208484112,-0.9662164893375091,0.6792174989335684,-1.3253828301940545,-1.4167025997338503,3368.266,0.9127513323003366,B0005
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16432306020666723,-0.7801952511513385,1.2797302752951751,0.0866628954001007,-1.3564730737031128,3339.25,0.9048884162901324,B0005
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264910659043756,-0.5551059770475573,1.722617886813806,0.9341070955525591,-1.3105459987799806,3339.5,0.9049561626715272,B0005
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2906473988180743,-0.32501765639791497,1.8220736139913678,1.4834924075920628,-1.310775421727031,3331.265,0.9027245968683828,B0005
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4907556179426446,-0.02192947252585662,1.3223472199152266,0.05601967815889105,-1.3879582798967984,3302.0,0.8947942054623095,B0005
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5135543295138959,0.2971956657519245,0.4758456646255219,-2.3728063433279076,-1.4996574319286107,3312.032,0.8975127322549193,B0005
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8045464576437439,0.5194069911224922,-0.29093245422701763,-3.6565020422473746,-1.5810872102360785,3282.563,0.8895270598016278,B0005
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8316586926793574,0.5449873055498096,-0.6118522230698641,-1.8589729658501786,-1.5788871255356334,3327.391,0.9016747989422892,B0005
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8527967380478894,0.5348471946715214,-0.8533843394435386,-0.6669731044199558,-1.5257239199243247,3312.078,0.897525197589096,B0005
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7465839688512237,0.43823467386878306,-0.8524551023362087,1.4631146170177036,-1.4179370357717185,3293.172,0.8924019452424968,B0005
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.170694947428533,0.3144166708607573,-0.7041072668408715,3.5400512445980072,-1.2730363108174605,3275.328,0.8875664795240628,B0005
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13656271228397832,0.19283247171802498,-0.4345991901916599,5.279619692527822,-1.1036416048462976,3265.016,0.8847720767842907,B0005
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.898697185400831,0.5341703017321069,-1.1846175144574165,-3.5615328165487474,-1.0250243301522914,3328.937,0.9020937425648348,B0005
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939370093189452,0.38225546926932547,-0.770639113072083,0.23333394524452794,-0.9050328604732831,3319.875,0.8996380717320365,B0005
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4478727704306316,0.3335923013316546,-0.607863569489157,2.9886551304131497,-0.8669347945163013,3292.188,0.892135295485327,B0005
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9508914699651378,0.4181742973985674,-0.7618519634538803,3.7918337927649293,-0.9112632063440939,3264.516,0.8846365840215011,B0005
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3386990381403539,0.5992563684317358,-1.191847819174491,3.087584189048349,-1.0270340622228276,3226.5,0.8743347982810846,B0005
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9579573638136291,0.8554496034344204,-1.8072758772656305,0.8415881960219463,-1.1832720598583255,3256.297,0.8824093539867661,B0005
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4978059094516345,1.1103508059135725,-2.242944512287762,-1.9678657504996802,-1.3012942439140252,3266.093,0.8850639281953393,B0005
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3806025736523195,1.1648011858723424,-1.8687346419908528,-1.412485180976112,-1.287140789011758,3247.782,0.8801019122364598,B0005
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1169158401752086,1.1588132333036134,-1.1374057257014176,-0.915108505493168,-1.1834576160577384,3248.593,0.8803216814977045,B0005
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4849016147468517,1.0602766759773326,-0.1298481794092306,0.345598449725689,-1.0147284654929667,3229.016,0.8750165978634418,B0005
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10493242184573776,0.9673392232515603,0.7405524243491853,0.20101875259089516,-0.8361886401683775,3230.781,0.8754948873160889,B0005
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.472007361564112,0.8527767136784263,1.288916604157539,-0.41279838117213735,-0.6986659937941799,3210.609,0.8700285672941066,B0005
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1897280878002652,0.650435670369884,1.4648305598666536,0.2567123609173442,-0.6345300838358449,3210.2030000000027,0.8699185471707221,B0005
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4604278189067207,0.43238758982676234,1.1535591204429114,0.31629483098886424,-0.6375369311007588,3212.469,0.8705326003716838,B0005
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3746520339349398,0.18775640113977712,0.6505128658040065,0.23673831257174136,-0.6581186273265927,3213.219,0.8707358395158681,B0005
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3821568816353491,-0.04146955914690888,0.17025149958768346,-0.6327595073198269,-0.6516236263175097,3184.078,0.8628390503149664,B0005
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33623612037009326,-0.34850211641407486,0.20094357704856658,0.27109474588762245,-0.5591034310147435,3185.375,0.8631905185416426,B0005
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213418774603274,-0.5496245649397618,0.17472746650824825,-0.4357498950378753,-0.468976196012838,3195.312999999994,0.8658835726948465,B0005
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675188886222598,-0.7310973900794278,0.15886382016452957,0.07118515065214709,-0.41702571308544656,3186.297,0.8634403671962266,B0005
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15878702349038182,-0.8382250746242906,0.10193529543511541,0.3961119673399483,-0.3939692768730023,3166.641,0.8581138757054431,B0005
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2068128682829796,-0.8655977508514133,0.053940530194622416,-0.11942350575596845,-0.3717911412387522,3167.593,0.8583718539257944,B0005
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12081627759362795,-0.879507180235703,0.1348584171554455,-0.4483334145170655,-0.33062115722415997,3148.094,0.8530879071625268,B0005
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038547248861457814,-0.9173112851620044,0.3493809643700892,-0.2614563325300378,-0.2663888216758008,3159.077999999994,0.8560644121754865,B0005
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04155144467899887,-0.9713660113037528,0.5570926920659455,-0.007958843044493564,-0.1997634941804866,3148.829,0.8532870815238276,B0005
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08082194301734952,-1.0311370909488289,0.6207324525332162,-0.09389665485624968,-0.15258889212207524,3139.734,0.8508224681686852,B0005
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15127800392085827,-1.1198343594568894,0.5718816962623662,-0.08398920268386562,-0.12286834531352202,3140.547,0.851042779400981,B0005
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23499316626086222,-1.2142441033850946,0.4807726749647175,-0.34126345958760146,-0.09408753189991417,3121.859,0.8459786018989581,B0005
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32476618085176556,-1.3374279277126364,0.541761927866869,-0.053959684967186096,-0.04051090239426652,3112.516,0.8434467841334723,B0005
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25495637011782996,-1.4484406860214876,0.6770791540268715,0.201953480566826,0.02432209082403562,3122.125,0.8460506840487623,B0005
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38010207957748754,-1.5442057347126972,0.8699505337632896,0.7505050927565398,0.08756534023355851,3121.672,0.8459279276056749,B0005
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740769461813933,-1.4936877318394062,0.7858053378239495,-1.1862143539561132,0.11293523935075642,3120.86,0.8457078873589047,B0005
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45111652624334836,-1.5516146798262964,1.0203827314172174,0.21464838833538777,0.15217557459952658,3084.343,0.8358123089213313,B0005
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1014184639839768,-1.571201259862233,1.2302311770614887,1.1742733704428479,0.19115347176700515,3066.063,0.8308586935137448,B0005
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8662597097633971,-1.5300018702525326,1.3626311525001902,0.8378173960057929,0.23749434862635485,3095.781,0.8389118413629054,B0005
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11880879702739126,-1.4368307340986626,1.3478804887815468,-0.7629462082403622,0.2811928067349001,3094.328,0.8385180993942389,B0005
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6312777878595766,-1.3889713295459518,1.3098927208382636,-1.4957500374982866,0.3240347415376622,3066.984,0.8311082711828031,B0005
